samples	mask_ultrahigh_signals	control	dups	log10_summit_qvalue	total	peaksOverlap_GS	peaksOverlap_FDSchmid	peaksOverlap_FDSchmid_and_GS
FD	noScreen	none	TRUE	10	5047	104	3452	0
FD	noScreen	Input	TRUE	10	5276	43	3644	0
FD	noScreen	Mock	TRUE	10	4258	1	3194	0
FD	GS	Input	TRUE	10	5233	0	3644	0
FD	BL	Input	TRUE	10	5291	0	3678	0
FD	noScreen	Input	FALSE	10	4420	9	3265	0
FD	noScreen	Input	TRUE	2	8504	45	4517	0
FD	noScreen	Input	TRUE	5	7392	45	4338	0
FD	noScreen	Input	TRUE	20	3700	32	2881	0
FD	noScreen	Input	TRUE	30	2961	26	2428	0
FD	noScreen	Input	TRUE	40	2520	22	2127	0
FD	noScreen	Input	TRUE	50	2238	19	1917	0
