samples	mask_ultrahigh_signals	control	dups	log10_summit_qvalue	total	peaksOverlap_GS	peaksOverlap_LFYChIPchip	peaksOverlap_LFYChIPchip_and_GS
LFY	noScreen	none	TRUE	10	2383	147	723	0
LFY	noScreen	Input	TRUE	10	1755	67	712	0
LFY	noScreen	Mock	TRUE	10	1003	0	557	0
LFY	GS	Input	TRUE	10	1688	0	712	0
LFY	BL	Input	TRUE	10	1635	0	697	0
LFY	noScreen	Input	FALSE	10	1293	60	633	0
LFY	noScreen	Input	TRUE	2	8574	109	988	0
LFY	noScreen	Input	TRUE	5	4273	96	890	0
LFY	noScreen	Input	TRUE	20	927	35	518	0
LFY	noScreen	Input	TRUE	30	666	25	418	0
LFY	noScreen	Input	TRUE	40	516	21	345	0
LFY	noScreen	Input	TRUE	50	410	19	282	0
